title,status,genres,favorites,popularity,rank,score,authors
Sword Girls,Publishing,"Action, Adventure, Fantasy, Romance",7,#15595,#12634,6.7,"Rin, Se-Ri (Story)"
Railroad,Finished,Life,0,#22242,#12669,6.7,"Yoon, Mi-Kyung (Story & Art)"
No Scope,Finished,Sports,9,#13605,#12710,6.69,Zoyang (Story & Art)
The Matchmaking Baby Princess,Publishing,"Fantasy, Romance",0,#18372,#12711,6.69,"Sin, Jimmy (Story), Park, Karin (Art)"
The Villainess Needs Her Tyrant,Finished,"Fantasy, Romance",3,#7921,#12713,6.69,"Eun, Hayoon (Story), Palgarak (Art)"
Kill the Dragon,Publishing,"Action, Fantasy",0,#7989,#12714,6.69,"Baeksu Gwijok (Story), Miss Jisu (Art)"
The Challenger,Publishing,"Action, Fantasy",4,#10547,#12716,6.69,"TryTry (Story), Keyboard (Art)"
The Secret Bedroom of a Dejected Royal Daughter,Publishing,"Fantasy, Romance",2,#18829,#12717,6.69,"Sung, Hyerim (Story), Henie (Art)"
The Demon King Levels Up,Publishing,"Action, Fantasy",2,#12842,#12719,6.69,"Iboxson (Story), AM (Art)"
Americano Exodus,Finished,"Action, Adventure, Supernatural",7,#19779,#12786,6.69,"Park, Ji-eun (Story & Art)"
0.0 Mhz,Finished,Horror,2,#23550,#12801,6.68,Jangjak (Story & Art)
Perfect Honeymoon,Finished,"Drama, Romance",1,#23952,#12813,6.68,"Hwaryu Dongpung (Story), Yet Saram (Art)"
Arma,Finished,"Action, Supernatural",3,#17456,#12819,6.68,Byeongjang (Story & Art)
Crazy Love Story,Finished,"Drama, Romance",3,#20583,#12841,6.68,"Lee, Vin (Story & Art)"
8mm,Finished,"Comedy, Drama, Romance, Life",1,#21104,#12842,6.68,"Na, You (Story & Art)"
Bodyguard,Finished,"Drama, Romance",0,#17046,#12855,6.68,"Hwang, Mi Ri (Story & Art)"
Chat,Finished,"Drama, Romance",5,#17870,#12860,6.68,"Han, Yu-Rang (Story & Art)"
The Healing Solaris Cleric,Publishing,"Action, Adventure, Fantasy",2,#17753,#12883,6.68,"JerryM (Story), Bang, Seungho (Art)"
Kingdom of Zombie,Finished,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",10,#5449,#12911,6.68,Nojeok (Story & Art)
Cat and Dog,Finished,"Drama, Romance, Life",5,#16195,#12926,6.68,"Park, Hee Jung (Story & Art)"
Money Virus,Finished,"Comedy, Romance",1,#20725,#12955,6.67,"Hwang, Mi Ri (Story & Art)"
Wished You Were Dead,Publishing,"Drama, Fantasy, Romance",20,#8680,#13030,6.67,"Jinseo (Story), Aran (Art)"
To You Who Swallowed a Star,Publishing,Romance,2,#18439,#13031,6.67,Ari (Story & Art)
Disconnected from Reality,Finished,Suspense,2,#21817,#13032,6.67,"Seunghan (Story), Yelim (Art)"
#Killstagram,Finished,"Horror, Suspense",9,#11209,#13033,6.67,Ryoung (Story & Art)
Don't Call Javotte an Evil Stepsister,Finished,"Drama, Romance",1,#21771,#13034,6.67,"Andersenlove (Story), Ama (Art)"
Neolithic Girl,Finished,"Action, Supernatural",2,#20860,#13035,6.67,"Jaeah (Story), Han, Garam (Art)"
The Princess in the Attic,Publishing,"Fantasy, Romance",1,#19790,#13036,6.67,"Ja, Eunhyang (Story), Jeongche Bulmyeong (Art)"
The Villainess Becomes the Leading Lady,Publishing,"Drama, Fantasy, Romance",1,#13472,#13037,6.67,"Maru Gongbang (Art), Yoo, Rinhae (Story)"
The Little Lady Behind the Villain,Publishing,Fantasy,0,#17239,#13039,6.67,"Super Hayang (Story), Areca Yaja (Art)"
Nevertheless,Finished,Romance,3,#16943,#13044,6.66,Jeongseo (Story & Art)
The Lady I Served Became a Master,Finished,"Fantasy, Romance",4,#10183,#13045,6.66,"Tabby-ui Byeol (Story), Sigma (Art)"
The Hip Guy,Finished,"Comedy, Romance",1,#26208,#13046,6.66,Henie (Story & Art)
My Master Is a Backseat Gamer,Publishing,"Action, Fantasy",4,#6872,#13047,6.66,"Hwabong (Story), Jodol (Art)"
The Creator Is on Hiatus,Publishing,"Action, Fantasy",4,#8028,#13049,6.66,"RK Studio (Art), Cracker (Story)"
The Lady's Dark Secret,Publishing,"Fantasy, Romance",1,#15081,#13050,6.66,"Yuin (Story), Yeo, Doha (Art)"
Lingerie,Finished,"Fantasy, Romance",2,#22961,#13130,6.66,"Seo, Yoon Young (Story & Art)"
His Majesty's Proposal,Finished,"Fantasy, Romance",4,#9389,#13203,6.65,"Cha, Seunghyun (Story), Yeyoung (Story), INUS (Art)"
Limit Breaker,Publishing,"Action, Fantasy",7,#5335,#13205,6.65,"Seongbul Yejeong (Story), Mino (Art)"
The Male Lead's Girl Friend,Finished,"Fantasy, Romance",4,#10454,#13206,6.65,"Ryu, Heon (Story), Kakon (Art)"
