title,status,genres,favorites,popularity,rank,score,authors
Romance in Reverse,Finished,"Drama, Romance",2,#21335,#15232,6.46,"Harasyo (Story), Boaz & Deerchaser (Art)"
Ultra-Alternate Character,Publishing,"Action, Fantasy",1,#10055,#15233,6.46,Jixksee (Story & Art)
The Predator,Finished,Horror,1,#24345,#15234,6.46,"Shin, Heebin (Story), Chihun (Art)"
Crazy Like a Fox,Publishing,"Drama, Fantasy, Romance",2,#13321,#15235,6.46,"Dalseul (Story), Rohan (Art)"
I Returned as an FFF-Class Witch Doctor,Publishing,"Action, Fantasy",1,#14774,#15238,6.46,"Ppak-seonsaeng (Story), Meng (Art)"
Her Pet,Finished,Love,5,#20330,#15251,6.46,Pito (Story & Art)
True Beauty,Finished,"Comedy, Drama, Romance",237,#1382,#15253,6.46,"Kim, Na-young (Story & Art)"
The Tyrant's Sister,Publishing,"Fantasy, Romance",0,#12740,#15345,6.45,"Aperta (Story), Chyobap (Art)"
I'll Marry Him!,Finished,"Fantasy, Romance",0,#15730,#15346,6.45,"Carumok (Story), Galchi Gui (Art)"
The Double Agent,Finished,Romance,1,#20303,#15347,6.45,"Pisookhye (Story), Yeopjip Charles (Art)"
Reloaded into the Other World,Publishing,"Action, Fantasy",0,#12978,#15349,6.45,"Yim, Kyung-bae (Story), Chocho (Art)"
"10, 20, and 30",Finished,"Comedy, Drama, Romance",3,#21229,#15389,6.45,"Kang, Morim (Story & Art)"
Follow the Bread Crumbs,Finished,"Fantasy, Romance",0,#22289,#15422,6.44,"Gyeoni (Art), Soreum-idang (Story)"
Legendary Ranker's Comeback,Publishing,"Action, Fantasy",0,#18732,#15423,6.44,"Yuuri (Story), Yuni (Art)"
A Villain Demands to Be Loved,Finished,"Fantasy, Romance",1,#17810,#15525,6.43,"Omijacheong (Story), Shinmallang (Art)"
Real Purple,Finished,"Drama, Romance, Life",1,#17371,#15585,6.42,"Park, So-Hee (Story & Art)"
The 101st Heroine,Finished,"Fantasy, Romance",0,#19718,#15643,6.42,"Menanick (Story), Studio D (Art)"
I Belong to House Castielo,Finished,"Fantasy, Romance",8,#7670,#15645,6.41,"Siya (Story), Cotton (Art)"
War Angels,Finished,"Action, Fantasy",3,#22430,#15683,6.41,"Kim, Jae-Hwan (Story & Art)"
Neo Girl,Finished,"Drama, Romance",1,#18867,#15697,6.41,"Kang, Eun Young (Story & Art)"
Pretty Haru,Finished,"Comedy, Romance",2,#14474,#15711,6.41,"Jung, Hyo-Jin (Story & Art)"
The Princess's Spaceship,Finished,"Fantasy, Romance, Sci-Fi",1,#21567,#15750,6.4,"Romeo_Tango (Story), Yeongyeong (Art)"
The Book of Lagier,Publishing,Fantasy,1,#10682,#15751,6.4,"Gongdeuntap (Story), Siroo (Art)"
My Life as a Player,Publishing,"Action, Adventure, Fantasy",5,#8360,#15752,6.4,"GaVinGe (Story), Ballo (Art)"
Book Club,Finished,"Horror, Mystery",10,#5677,#15791,6.4,"Hee, Jo Ju (Art), Seo, Yoon Young (Story)"
It Was All a Mistake,Publishing,"Fantasy, Romance",1,#13163,#15818,6.39,"Gwaaen (Story), Mimba (Art)"
The Earth's Chosen Savior,Finished,"Action, Fantasy",3,#17306,#15819,6.39,"Oetu (Story), Ha, Jungsoo (Art)"
10 Years in the Friend Zone,Finished,Romance,1,#25397,#15862,6.38,Nimni (Story & Art)
Ark Angels,Finished,"Fantasy, Romance, Supernatural",5,#13136,#15877,6.38,"Park, Sang-Sun (Story & Art)"
Priceless,Finished,"Comedy, Romance",4,#20618,#15879,6.38,"Lee, Young-You (Story & Art)"
Leveling Up Alone,Publishing,"Action, Fantasy",1,#11545,#15990,6.37,"Sinfeel (Story), Banggae (Art)"
Empress? Empress!,Finished,Fantasy,0,#14814,#15991,6.36,"Kkiming (Story), N'oah (Art)"
A Cat That Loved a Fish,Finished,Romance,14,#4110,#16018,6.36,"Yoon, Mi-Kyung (Story & Art)"
Floating in My Mind,Finished,"Romance, Supernatural",0,#27535,#16070,6.35,"Hae, Youngchae (Story & Art)"
The Carefree Life of an SSS-Class Knight,Publishing,"Action, Fantasy",0,#17068,#16071,6.35,"Akaru (Story), Mabeop Sangja (Art)"
Eternity,Finished,"Action, Comedy, Drama",1,#24266,#16113,6.34,"Park, Jin-Ryong (Story), Shin, Yong-Gwan (Art)"
Death Song,Finished,"Comedy, Drama, Romance",7,#10833,#16121,6.34,"Kim, Jeong Eun (Story & Art)"
Please Don't Eat Me!,Publishing,"Fantasy, Romance",1,#16439,#16130,6.34,"Saha (Story), Cheolgapsangeo (Art)"
8th Circle Mage Reborn,Publishing,"Action, Fantasy",1,#10557,#16132,6.34,"Studio Inus (Art), Zary (Story), chleo (Art)"
The Record of War in Crodia,Finished,"Action, Adventure, Fantasy",2,#22460,#16151,6.34,"Kim, Jun Hyeong (Story), Kwon, Yong-Wan (Art)"
A Guy Like You,Finished,"Love, Drama, Supernatural",10,#10224,#16180,6.33,"Waje (Story & Art), JS (Story)"
Do Not Fight,Finished,Romance,0,#18983,#16258,6.32,"Yeon, Young-Hee (Story & Art)"
I Login Alone,Publishing,"Action, Adventure, Fantasy",6,#11740,#16291,6.32,"Toy Car (Story), Rose Studio (Art)"
My Husband's Reversal,Finished,"Drama, Fantasy, Romance",0,#18360,#16292,6.32,"Rantesias (Story), Jangbi (Art)"
The Stars Are on My Side,Publishing,"Action, Fantasy",0,#16708,#16294,6.32,"Corgibear (Story), Supercomix Studio (Art)"
"My Master, the Wolf Queen",Finished,"Drama, Fantasy",0,#18579,#16295,6.31,"Kim, Suo (Story), Richi (Art)"
My 990 Thousand Past Lives Help Me,Finished,"Action, Fantasy",4,#9451,#16420,6.29,"Maru Gongbang (Art), Chimnyakja (Story)"
I Was the Male Lead's Ex,Finished,"Fantasy, Romance",0,#16005,#16478,6.28,"Jwittong Saettong (Story), Taeza (Art)"
The Story of the Gatekeeper,Finished,Life,1,#24058,#16553,6.26,"Kim, Tae-Yeon (Story & Art)"
Sparkle x Sparkle,Finished,"Comedy, Drama, Romance",0,#25028,#16561,6.26,"Kim, Da Hee (Story & Art)"
Vanilla Frosting,Finished,"Comedy, Romance, Life",0,#19462,#16563,6.26,"Lee, Romo (Story & Art)"
The Lady Tames the Swordmaster,Finished,"Fantasy, Romance",1,#21537,#16596,6.25,"Bultandat (Story), Miyashima (Art)"
A Heart for the Emperor,Finished,"Fantasy, Romance",0,#16516,#16696,6.23,"6S (Story), Yullimni (Art), Coconutberry (Art)"
The Villainous Violet,Finished,"Fantasy, Romance",0,#20436,#16697,6.23,"Jwittong Saettong (Story), Lemi (Art)"
The Max Level Returner,Finished,"Action, Fantasy",6,#5171,#16749,6.21,"Honey (Story), Vertwo (Art)"
Head Over Heels,Finished,Romance,8,#18554,#16755,6.21,"Nambyul (Story), Prishe (Art)"
Returned as the Duke,Publishing,"Action, Fantasy",0,#12463,#16796,6.2,"Goraengji (Story), Choi, Bonggeun (Art)"
The Dress,Finished,Horror,2,#10309,#16821,6.2,"Ju, Hee Cho (Story)"
The Tyrant's Tutor,Finished,"Fantasy, Romance",0,#14842,#16840,6.19,"Chae, Yuhwa (Story), Maru Gongbang (Art)"
11th Cat,Finished,"Comedy, Fantasy, Romance",6,#12507,#16883,6.18,"Mi-kyung, Kim (Story & Art)"
A Tyrant's First Love,Finished,Drama,1,#17177,#16932,6.17,"Kim, Suo (Story), Chiwa (Art)"
Dragon Recipe,Finished,"Action, Adventure, Comedy, Fantasy",2,#15531,#16971,6.15,"Eldo (Art), Yeop (Story)"
My Civil Servant Life Reborn in the Strange World,Publishing,"Action, Fantasy",1,#11203,#17003,6.14,"Ilgye (Story), Qiliao (Art)"
The Lone Spellcaster,Publishing,"Action, Fantasy",1,#6764,#17039,6.13,"Chungcho (Story), Minchoba (Art)"
Harley Takes the House,Finished,"Drama, Fantasy, Romance",5,#10014,#17081,6.11,"Plutus (Story), Min, Iyeong (Art)"
Best Couple,Finished,Romance,0,#19190,#17191,6.07,"Park, Kyoung-Lan (Story & Art)"
White Day,Finished,Romance,1,#16864,#17247,6.04,"Gu, Hyun Jung (Story & Art)"
They Say I Was Born a King's Daughter,Finished,"Fantasy, Romance",2,#13956,#17334,6.0,"Bichu (Story), Kim, Legna (Art)"
Detain,Finished,"Love, Drama",1,#19118,#17354,5.98,KR (Story & Art)
The Thorn That Pierces Me,Finished,Fantasy,1,#15212,#17595,5.78,"Ma Cherie (Story), Piggyback (Art)"
A Useless Villain,Finished,"Action, Mystery",2,#13546,#17735,5.57,"Lee, Chang Jun (Art), Huinyeoul (Story)"
Agmaui Sinbu,Finished,"Comedy, Fantasy, Supernatural",8,#15516,#17747,5.53,"Rhim, Ju-Yeon (Story)"
